,id,label,born,died,continental,analytic,comms
21,n22,Edmund Husserl,1859-04-08 00:00:00,1938-04-27 00:00:00,1,0,continental
51,n52,Bertrand Russell,1872-05-18 00:00:00,1970-02-02 00:00:00,0,1,analytic
54,n55,Martin Heidegger,1889-09-26 00:00:00,1976-05-26 00:00:00,1,0,continental
56,n57,Xavier Zubiri,1898-12-04 00:00:00,1983-09-21 00:00:00,1,0,continental
62,n63,Georg Wilhelm Friedrich Hegel,1770-08-27 00:00:00,1831-11-14 00:00:00,1,0,continental
63,n64,Friedrich Nietzsche,1844-10-15 00:00:00,1900-08-25 00:00:00,1,0,continental
66,n67,Karl Marx,1818-05-05 00:00:00,1883-03-14 00:00:00,1,0,continental
67,n68,Jean-François Lyotard,1924-08-10 00:00:00,1998-04-21 00:00:00,1,0,continental
71,n72,Jean-Paul Sartre,1905-06-21 00:00:00,1980-04-15 00:00:00,1,0,continental
72,n73,Michel Foucault,1926-10-15 00:00:00,1984-06-25 00:00:00,1,0,continental
73,n74,Alvin Plantinga,1932-11-15 00:00:00,,0,1,analytic
74,n75,Hannah Arendt,1906-10-14 00:00:00,1975-12-04 00:00:00,1,0,continental
75,n76,Gilles Deleuze,1925-01-18 00:00:00,1995-11-04 00:00:00,1,0,continental
82,n83,Arthur Schopenhauer,1788-02-22 00:00:00,1860-09-21 00:00:00,1,0,continental
83,n84,Friedrich Wilhelm Joseph Schelling,1775-01-27 00:00:00,1854-08-20 00:00:00,1,0,continental
85,n86,Donald Davidson (philosopher),1917-03-06 00:00:00,2003-08-30 00:00:00,0,1,analytic
86,n87,Johann Gottlieb Fichte,1762-05-19 00:00:00,1814-01-29 00:00:00,1,0,continental
89,n90,Ludwig Wittgenstein,1889-04-26 00:00:00,1951-04-29 00:00:00,0,1,analytic
90,n91,Miguel de Unamuno,1864-09-29 00:00:00,1936-12-31 00:00:00,1,0,continental
92,n93,Étienne Balibar,1942-04-23 00:00:00,,1,0,continental
94,n95,Antonio Negri,1933-08-01 00:00:00,,1,0,continental
96,n97,Leo Strauss,1899-09-20 00:00:00,1973-10-18 00:00:00,1,0,continental
97,n98,Leszek Kołakowski,1927-10-23 00:00:00,2009-07-17 00:00:00,1,0,continental
103,n104,Gottlob Frege,1848-11-08 00:00:00,1925-07-26 00:00:00,0,1,analytic
104,n105,Nicholas Rescher,1928-07-15 00:00:00,,0,1,analytic
114,n115,Louis Lavelle,1883-07-15 00:00:00,1951-09-01 00:00:00,1,0,continental
115,n116,Alain Badiou,1937-01-17 00:00:00,,1,0,continental
117,n118,Pierre Duhem,1861-06-09 00:00:00,1916-09-14 00:00:00,1,0,continental
121,n122,Henri Bergson,1859-10-18 00:00:00,1941-01-04 00:00:00,1,0,continental
128,n129,Rudolf Carnap,1891-05-18 00:00:00,1970-09-14 00:00:00,0,1,analytic
130,n131,Jürgen Habermas,1929-06-18 00:00:00,,1,0,continental
134,n135,Karl Popper,1902-07-28 00:00:00,1994-09-17 00:00:00,0,1,analytic
146,n147,Jacques Derrida,1930-07-15 00:00:00,2004-10-09 00:00:00,1,0,continental
149,n150,Emmanuel Levinas,1906-01-12 00:00:00,1995-12-25 00:00:00,1,0,continental
153,n154,José Ortega y Gasset,1883-05-09 00:00:00,1955-10-18 00:00:00,1,0,continental
154,n155,Jan Patočka,1907-06-01 00:00:00,1977-03-13 00:00:00,1,0,continental
156,n157,Hilary Putnam,1926-07-31 00:00:00,2016-03-13 00:00:00,0,1,analytic
157,n158,Paul Ricœur,1913-02-27 00:00:00,2005-05-20 00:00:00,1,0,continental
158,n159,Gilbert Ryle,1900-08-19 00:00:00,1976-10-06 00:00:00,0,1,analytic
160,n161,Wilfrid Sellars,1912-05-20 00:00:00,1989-07-02 00:00:00,0,1,analytic
161,n162,Edith Stein,1891-10-12 00:00:00,1942-08-09 00:00:00,1,0,continental
162,n163,Bernard Stiegler,1952-04-01 00:00:00,2020-08-05 00:00:00,1,0,continental
174,n175,Friedrich Engels,1820-11-28 00:00:00,1895-08-05 00:00:00,1,0,continental
175,n176,Oswald Spengler,1880-05-29 00:00:00,1936-05-08 00:00:00,1,0,continental
177,n178,Alfred North Whitehead,1861-02-15 00:00:00,1947-12-30 00:00:00,0,1,analytic
195,n196,Martin Buber,1878-02-08 00:00:00,1965-06-13 00:00:00,1,0,continental
196,n197,Franz Rosenzweig,1886-12-25 00:00:00,1929-12-10 00:00:00,1,0,continental
197,n198,Emil Fackenheim,1916-06-22 00:00:00,2003-09-18 00:00:00,1,0,continental
205,n206,G. E. Moore,1873-11-04 00:00:00,1958-10-24 00:00:00,0,1,analytic
209,n210,A. J. Ayer,1910-10-29 00:00:00,1989-06-27 00:00:00,0,1,analytic
210,n211,Willard Van Orman Quine,1908-06-25 00:00:00,2000-12-25 00:00:00,0,1,analytic
211,n212,Saul Kripke,1940-11-13 00:00:00,,0,1,analytic
212,n213,Moritz Schlick,1882-04-14 00:00:00,1936-06-22 00:00:00,0,1,analytic
213,n214,J. L. Austin,1911-03-26 00:00:00,1960-02-08 00:00:00,0,1,analytic
214,n215,Kurt Grelling,1886-03-02 00:00:00,1942-01-01,0,1,analytic
215,n216,Frank Ramsey (mathematician),1903-02-22 00:00:00,1930-01-19 00:00:00,0,1,analytic
216,n217,Thomas Kuhn,1922-07-18 00:00:00,1996-06-17 00:00:00,0,1,analytic
218,n219,Isaiah Berlin,1909-06-06 00:00:00,1997-11-05 00:00:00,0,1,analytic
220,n221,Daniel Dennett,1942-03-28 00:00:00,,0,1,analytic
222,n223,Edward Said,1935-11-01 00:00:00,2003-09-24 00:00:00,1,0,continental
224,n225,Søren Kierkegaard,1813-05-05 00:00:00,1855-11-11 00:00:00,1,0,continental
228,n229,Wilhelm Dilthey,1833-11-19 00:00:00,1911-10-01 00:00:00,1,0,continental
229,n230,Nicolai Hartmann,1882-02-19 00:00:00,1950-10-09 00:00:00,1,0,continental
231,n232,Giorgio Agamben,1942-04-22 00:00:00,,1,0,continental
232,n233,Maurice Blanchot,1907-09-22 00:00:00,2003-02-20 00:00:00,1,0,continental
233,n234,Hubert Dreyfus,1929-10-15 00:00:00,2017-04-22 00:00:00,1,0,continental
234,n235,Hans-Georg Gadamer,1900-02-11 00:00:00,2002-03-13 00:00:00,1,0,continental
235,n236,Hans Jonas,1903-05-10 00:00:00,1993-02-05 00:00:00,1,0,continental
236,n237,Herbert Marcuse,1898-07-19 00:00:00,1979-07-29 00:00:00,1,0,continental
237,n238,Jean-Luc Nancy,1940-07-26 00:00:00,,1,0,continental
241,n242,Max Stirner,1806-10-25 00:00:00,1856-06-26 00:00:00,1,0,continental
250,n251,Graham Harman,1968-05-09 00:00:00,,1,0,continental
255,n256,Simon Blackburn,1944-07-12 00:00:00,,0,1,analytic
256,n257,Jerry Fodor,1935-04-22 00:00:00,2017-11-29 00:00:00,0,1,analytic
257,n258,J. L. Mackie,1917-08-25 00:00:00,1981-12-12 00:00:00,0,1,analytic
