from,to
n2,n1
n3,n1
n4,n1
n5,n1
n6,n1
n7,n1
n8,n1
n9,n1
n10,n1
n11,n1
n12,n1
n13,n1
n14,n1
n1,n15
n1,n16
n1,n17
n1,n18
n1,n19
n1,n20
n1,n21
n1,n22
n23,n2
n24,n2
n25,n2
n26,n2
n2,n3
n2,n27
n2,n28
n2,n29
n2,n30
n2,n7
n2,n31
n2,n32
n2,n3
n23,n3
n26,n3
n25,n3
n33,n3
n3,n5
n3,n8
n3,n4
n34,n4
n4,n35
n4,n5
n4,n36
n4,n37
n3,n5
n2,n5
n38,n5
n5,n39
n5,n8
n7,n6
n31,n6
n6,n40
n6,n8
n6,n13
n6,n9
n6,n41
n6,n42
n3,n7
n43,n7
n2,n7
n30,n7
n3,n8
n2,n8
n23,n8
n5,n8
n7,n8
n31,n8
n44,n8
n45,n8
n39,n8
n43,n8
n6,n8
n3,n9
n6,n9
n8,n9
n13,n9
n46,n9
n47,n9
n9,n48
n9,n49
n9,n50
n9,n51
n9,n52
n8,n10
n13,n10
n3,n10
n10,n16
n10,n21
n10,n53
n10,n54
n10,n55
n10,n56
n10,n57
n58,n11
n59,n11
n60,n11
n61,n11
n11,n12
n11,n62
n11,n22
n11,n63
n11,n64
n26,n12
n11,n12
n65,n12
n66,n12
n43,n12
n2,n12
n3,n12
n23,n12
n12,n67
n12,n64
n12,n68
n12,n69
n12,n20
n12,n70
n12,n71
n12,n72
n12,n73
n3,n13
n7,n13
n6,n13
n8,n13
n13,n47
n13,n74
n13,n56
n13,n55
n13,n75
n13,n76
n13,n77
n3,n14
n7,n14
n8,n14
n1,n15
n39,n15
n5,n15
n3,n15
n78,n15
n66,n15
n79,n15
n80,n15
n51,n15
n81,n15
n82,n15
n15,n83
n15,n63
n15,n71
n15,n84
n15,n67
n15,n85
n15,n86
n15,n76
n15,n87
n15,n88
n15,n16
n15,n89
n15,n64
n15,n52
n15,n90
n15,n91
n15,n92
n15,n93
n15,n94
n15,n95
n15,n96
n15,n97
n15,n98
n3,n16
n2,n16
n10,n16
n54,n16
n99,n16
n100,n16
n1,n16
n51,n16
n18,n16
n15,n16
n20,n16
n16,n101
n16,n102
n16,n70
n16,n62
n16,n53
n16,n21
n16,n103
n16,n77
n16,n104
n16,n52
n16,n55
n16,n105
n106,n17
n54,n17
n1,n17
n107,n17
n108,n17
n51,n17
